t,u,theta,phi
3.55,-0.5235988,0.2093531,0.5249918
3.56,-0.5235988,0.2159521,0.5249918
3.57,-0.5235988,0.2212215,0.5249918
3.58,-0.5235988,0.2252224,0.5249918
3.59,-0.5235988,0.2279203,0.5249918
3.6,-0.5235988,0.2293907,0.5249918
3.61,-0.5235988,0.2295073,0.5201294
3.62,-0.5235988,0.2282423,0.5201294
3.63,-0.5235988,0.225682,0.5249918
3.64,-0.5235988,0.2218187,0.5249918
3.65,-0.5235988,0.2168539,0.5249918
3.66,-0.5235988,0.210511,0.5249918
3.67,-0.5235988,0.2030374,0.5249918
3.68,-0.5235988,0.1944329,0.5249918
3.69,-0.5235988,0.184619,0.5249918
3.7,-0.5235988,0.173926,0.5249918
3.71,-0.5235988,0.1620493,0.5201294
3.72,-0.5235988,0.1495211,0.5249918
3.73,-0.5235988,0.1361717,0.5249918
3.74,-0.5235988,0.1219409,0.5249918
3.75,-0.5235988,0.1070023,0.5201294
3.76,-0.5235988,0.09151909,0.5249918
3.77,-0.5235988,0.07560388,0.5249918
3.78,-0.5235988,0.05934136,0.5249918
3.79,-0.5235988,0.04261309,0.5249918
3.8,-0.5235988,0.02592591,0.5201294
3.81,-0.5235988,0.008831494,0.5249918
3.82,-0.5235988,-0.008117094,0.5201294
3.83,-0.5235988,-0.0247321,0.5249918
3.84,-0.5235988,-0.04135591,0.5201294
3.85,-0.5235988,-0.05768172,0.5249918
3.86,-0.5235988,-0.07358589,0.5249918
3.87,-0.5235988,-0.08894265,0.5249918
3.88,-0.5235988,-0.1038744,0.5249918
3.89,-0.5235988,-0.1179675,0.5249918
3.9,-0.5235988,-0.1314568,0.5249918
3.91,-0.5235988,-0.1440947,0.5249918
3.92,-0.5235988,-0.155932,0.5249918
3.93,-0.5235988,-0.1667623,0.5249918
3.94,-0.5235988,-0.1765973,0.5249918
3.95,-0.5235988,-0.1854582,0.5249918
3.96,-0.5235988,-0.1932868,0.5249918
3.97,-0.5235988,-0.2000286,0.5249918
3.98,-0.5235988,-0.205471,0.5249918
3.99,-0.5235988,-0.2096593,0.5249918
4,-0.5235988,-0.2126742,0.5201294
4.01,-0.5235988,-0.2144304,0.5249918
4.02,-0.5235988,-0.2150246,0.5249918
4.03,-0.5235988,-0.2142819,0.5249918
4.04,-0.5235988,-0.2121995,0.5249918
4.05,-0.5235988,-0.2089776,0.5201294
4.06,-0.5235988,-0.2046201,0.5201294
4.07,-0.5235988,-0.1991133,0.5249918
4.08,-0.5235988,-0.1925058,0.5249918
4.09,-0.5235988,-0.1846726,0.5249918
4.1,-0.5235988,-0.1757845,0.5249918
4.11,-0.5235988,-0.1659554,0.5249918
4.12,-0.5235988,-0.1551659,0.5201294
4.13,-0.5235988,-0.1435686,0.5249918
4.14,-0.5235988,-0.1311144,0.5249918
4.15,-0.5235988,-0.1179571,0.5201294
4.16,-0.5235988,-0.1040725,0.5249918
4.17,-0.5235988,-0.08957799,0.5249918
4.18,-0.5235988,-0.0748001,0.5249918
4.19,-0.5235988,-0.05948434,0.5249918
4.2,-0.5235988,-0.04375074,0.5249918
4.21,-0.5235988,-0.02799846,0.5249918
4.22,-0.5235988,-0.01197267,0.5249918
4.23,-0.5235988,0.003853875,0.5249918
4.24,-0.5235988,0.01992051,0.5249918
4.25,-0.5235988,0.03561486,0.5249918
4.26,-0.5235988,0.05111001,0.5249918
4.27,-0.5235988,0.06623743,0.5201294
4.28,-0.5235988,0.08075644,0.5201294
4.29,-0.5235988,0.09487839,0.5249918
4.3,-0.5235988,0.1083485,0.5249918
4.31,-0.5235988,0.1213696,0.5249918
4.32,-0.5235988,0.1333257,0.5201294
4.33,-0.5235988,0.1445676,0.5249918
4.34,-0.5235988,0.1550233,0.5201294
4.35,-0.5235988,0.1644779,0.5249918
4.36,-0.5235988,0.173109,0.5201294
4.37,-0.5235988,0.1805666,0.5249918
4.38,-0.5235988,0.186935,0.5201294
4.39,-0.5235988,0.1922675,0.5298541
4.4,-0.5235988,0.1965092,0.5249918
4.41,-0.5235988,0.199651,0.5249918
4.42,-0.5235988,0.2016278,0.5249918
4.43,-0.5235988,0.2022393,0.5249918
4.44,-0.5235988,0.2017249,0.5249918
4.45,-0.5235988,0.2001085,0.5249918
4.46,-0.5235988,0.197288,0.5249918
4.47,-0.5235988,0.1934675,0.5249918
4.48,-0.5235988,0.1886584,0.5249918
4.49,-0.5235988,0.1825549,0.5249918
4.5,-0.5235988,0.1754563,0.5249918
4.51,-0.5235988,0.1674056,0.5249918
4.52,-0.5235988,0.1585977,0.5249918
